,Before_Avg,After_Avg
Before_Mean,0.0006934480765498495,
Before_Std,3.608326068495909e-05,
Before_Min,0.0002437870856965519,
Before_Max,0.00111809836999704,
After_Mean,,-2.9752854622165386e-18
After_Std,,4.776741021378643
After_Min,,-49.572309275268736
After_Max,,44.68886189559249
